artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links,old_midi_path
Sviatoslav Richter,4,"Piano Sonata No.8 in A minor, K.310: 3. Presto",220.0,Wolfgang Amadeus Mozart,0,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/Sonata_No._8_3rd_Movement_K._310.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/05671.mid",https://www.youtube.com/watch?v=1pBPE51sR9E,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/0.mid"
Claudio Arrau,1,"Piano Sonata No.8 in A minor, K.310: 3. Presto",189.773,Wolfgang Amadeus Mozart,0,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/Sonata_No._8_3rd_Movement_K._310.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/05681.mid",https://www.youtube.com/watch?v=pe0MCk1wd3Q,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/11.mid"
Alfred Brendel,0,"Piano Sonata No. 8 in A Minor, K. 310: 3. Presto",198.88,Wolfgang Amadeus Mozart,0,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/Sonata_No._8_3rd_Movement_K._310.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/05689.mid",https://www.youtube.com/watch?v=71TipfLio28,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/21.mid"
Friedrich Gulda,3,"Piano Sonata No. 8 in A minor, K.310: 3. Presto",190.88,Wolfgang Amadeus Mozart,0,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/Sonata_No._8_3rd_Movement_K._310.mxl","Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/05692.mid",https://www.youtube.com/watch?v=VUIsSPmpeNE,"Wolfgang_Amadeus_Mozart/Piano_Sonata_No.8_in_A_minor,_K.310/3._Presto/25.mid"
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: III. Menuetto: Allegro",173.56,Ludwig van Beethoven,1,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05814.mid",https://www.youtube.com/watch?v=ZxeTWE1NCaA,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/3.mid"
Daniel Barenboim,2,"Piano Sonata No. 7 In D Major, Op. 10, No. 3: 3. Menuetto (Allegro)",172.13299999999995,Ludwig van Beethoven,1,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05825.mid",https://www.youtube.com/watch?v=BalJo_TYEyw,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/18.mid"
Claudio Arrau,1,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",187.0,Ludwig van Beethoven,1,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05829.mid",https://www.youtube.com/watch?v=CSiejmkUJqA,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/23.mid"
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 3. Menuetto (Allegro)",167.16,Ludwig van Beethoven,1,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05835.mid",https://www.youtube.com/watch?v=GedShIibrNo,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/32.mid"
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",179.44,Ludwig van Beethoven,1,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05840.mid",https://www.youtube.com/watch?v=2I8BhINS28Y,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/37.mid"
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: III. Menuetto. Allegro",166.0,Ludwig van Beethoven,1,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/05841.mid",https://www.youtube.com/watch?v=dwKrrqVnEAc,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/III._Menuetto._Allegro/39.mid"
Sviatoslav Richter,4,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo: Allegro",228.8,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05847.mid",https://www.youtube.com/watch?v=6lY_nQX_6Yc,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/4.mid"
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: IV. Rondo: Allegro",246.533,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05848.mid",https://www.youtube.com/watch?v=VNqeus8fyAc,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/5.mid"
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: IV. Rondo: Allegro",244.533,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05849.mid",https://www.youtube.com/watch?v=EEn-3B_ZgXc,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/6.mid"
Daniel Barenboim,2,"Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",241.56,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05863.mid",https://www.youtube.com/watch?v=cLRbXKPFnUk,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/24.mid"
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: 4. Rondo. Allegro",263.306,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05865.mid",https://www.youtube.com/watch?v=1PalQKAKh5I,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/27.mid"
Daniel Barenboim,2,"Piano Sonata No. 7 In D Major, Op. 10, No. 3: 4. Rondo (Allegro)",247.04,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05866.mid",https://www.youtube.com/watch?v=kXt-HEaO40E,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/28.mid"
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",243.693,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05868.mid",https://www.youtube.com/watch?v=vH4C_vrWS-I,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/30.mid"
Claudio Arrau,1,"Piano Sonata No.7 in D, Op.10 No.3: 4. Rondo (Allegro)",250.0,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05869.mid",https://www.youtube.com/watch?v=abeow0dLZc0,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/32.mid"
